"start","end","radiations"
1590134400,1590138000,540.96
1590138000,1590141600,706.72
1590141600,1590145200,757.4
1590145200,1590148800,769.44
1590148800,1590152400,671.3
1590152400,1590156000,511.7
1590156000,1590159600,299.04
1590159600,1590163200,382.62
1590163200,1590166800,224.84
1590166800,1590170400,106.96
1590170400,1590174000,21.28
1590174000,1590177600,0.28
1590177600,1590181200,0
1590181200,1590184800,0
1590184800,1590188400,0
1590188400,1590192000,0
1590192000,1590195600,0
1590195600,1590199200,0
1590199200,1590202800,0
1590202800,1590206400,0.42
1590206400,1590210000,19.88
1590210000,1590213600,87.78
1590213600,1590217200,223.16
1590217200,1590220800,378.28
1590220800,1590224400,544.74
1590224400,1590228000,667.52
1590228000,1590231600,720.3
1590231600,1590235200,795.06
1590235200,1590238800,780.08
1590238800,1590242400,683.34
1590242400,1590246000,555.66
1590246000,1590249600,377.02
1590249600,1590253200,222.74
1590253200,1590256800,98.84
1590256800,1590260400,18.62
1590260400,1590264000,0.28
1590264000,1590267600,0
1590267600,1590271200,0
1590271200,1590274800,0
1590274800,1590278400,0
1590278400,1590282000,0
1590282000,1590285600,0
1590285600,1590289200,0
1590289200,1590292800,0.42
1590292800,1590296400,10.5
1590296400,1590300000,40.6
1590300000,1590303600,211.12
1590303600,1590307200,322
1590307200,1590310800,394.38
1590310800,1590314400,483.28
1590314400,1590318000,763.14
1590318000,1590321600,825.58
1590321600,1590325200,780.64
1590325200,1590328800,698.32
1590328800,1590332400,559.58
1590332400,1590336000,414.12
1590336000,1590339600,237.58
1590339600,1590343200,92.82
1590343200,1590346800,21
1590346800,1590350400,0.28
1590350400,1590354000,0
1590354000,1590357600,0
1590357600,1590361200,0
1590361200,1590364800,0
1590364800,1590368400,0
1590368400,1590372000,0
1590372000,1590375600,0
1590375600,1590379200,0.7
1590379200,1590382800,36.4
1590382800,1590386400,105.42
1590386400,1590390000,227.22
1590390000,1590393600,392.14
1590393600,1590397200,568.12
1590397200,1590400800,713.58
1590400800,1590404400,789.46
1590404400,1590408000,810.88
1590408000,1590411600,801.78
1590411600,1590415200,722.12
1590415200,1590418800,590.94
1590418800,1590422400,414.12
1590422400,1590426000,233.52
1590426000,1590429600,103.04
1590429600,1590433200,27.58
1590433200,1590436800,0.56
1590436800,1590440400,0
1590440400,1590444000,0
1590444000,1590447600,0
1590447600,1590451200,0
1590451200,1590454800,0
1590454800,1590458400,0
1590458400,1590462000,0
1590462000,1590465600,0.7
1590465600,1590469200,34.65
1590469200,1590472800,131.075
1590472800,1590476400,288.4
