"start","end","wind"
1596823200,1596826800,0
1596826800,1596830400,3.6
1596830400,1596834000,4.32
1596834000,1596837600,4.86
1596837600,1596841200,4.32
1596841200,1596844800,1.98
1596844800,1596848400,2.88
1596848400,1596852000,4.32
1596852000,1596855600,3.78
1596855600,1596859200,3.96
1596859200,1596862800,5.22
1596862800,1596866400,4.68
1596866400,1596870000,7.02
1596870000,1596873600,12.42
1596873600,1596877200,10.62
1596877200,1596880800,9.9
1596880800,1596884400,9.54
1596884400,1596888000,11.16
1596888000,1596891600,8.82
1596891600,1596895200,10.62
1596895200,1596898800,7.92
1596898800,1596902400,7.74
1596902400,1596906000,4.86
1596906000,1596909600,0
1596909600,1596913200,0.54
1596913200,1596916800,1.26
1596916800,1596920400,2.88
1596920400,1596924000,2.52
1596924000,1596927600,1.26
1596927600,1596931200,1.44
1596931200,1596934800,0.18
1596934800,1596938400,0
1596938400,1596942000,1.8
1596942000,1596945600,4.86
1596945600,1596949200,3.96
1596949200,1596952800,5.94
1596952800,1596956400,7.02
1596956400,1596960000,7.2
1596960000,1596963600,7.74
1596963600,1596967200,7.2
1596967200,1596970800,7.02
1596970800,1596974400,8.28
1596974400,1596978000,6.48
1596978000,1596981600,3.96
1596981600,1596985200,4.32
1596985200,1596988800,7.74
1596988800,1596992400,6.12
1596992400,1596996000,3.42
1596996000,1596999600,0.72
1596999600,1597003200,1.44
1597003200,1597006800,1.08
1597006800,1597010400,1.62
1597010400,1597014000,0
1597014000,1597017600,0.36
1597017600,1597021200,0
1597021200,1597024800,0
1597024800,1597028400,2.52
1597028400,1597032000,2.52
1597032000,1597035600,0.18
1597035600,1597039200,1.08
1597039200,1597042800,1.08
1597042800,1597046400,0.18
1597046400,1597050000,3.42
1597050000,1597053600,1.98
1597053600,1597057200,1.8
1597057200,1597060800,6.12
1597060800,1597064400,6.66
1597064400,1597068000,5.94
1597068000,1597071600,9.54
1597071600,1597075200,7.56
1597075200,1597078800,6.48
1597078800,1597082400,3.42
1597082400,1597086000,0.72
1597086000,1597089600,0.72
1597089600,1597093200,0
1597093200,1597096800,0
1597096800,1597100400,0.72
1597100400,1597104000,2.7
1597104000,1597107600,0
1597107600,1597111200,0
1597111200,1597114800,0.9
1597114800,1597118400,2.7
1597118400,1597122000,1.44
1597122000,1597125600,2.34
1597125600,1597129200,0.36
1597129200,1597132800,2.16
1597132800,1597136400,3.6
1597136400,1597140000,6.66
1597140000,1597143600,1.44
1597143600,1597147200,3.42
1597147200,1597150800,3.6
1597150800,1597154400,3.78
1597154400,1597158000,8.28
1597158000,1597161600,8.46
1597161600,1597165200,7.02
1597165200,1597168800,4.68
1597168800,1597172400,1.98
1597172400,1597176000,0.9
1597176000,1597179600,0.9
1597179600,1597183200,1.08
1597183200,1597186800,1.62
1597186800,1597190400,1.8
1597190400,1597194000,1.44
1597194000,1597197600,3.96
1597197600,1597201200,2.16
1597201200,1597204800,1.26
1597204800,1597208400,0.72
1597208400,1597212000,0.9
1597212000,1597215600,3.06
1597215600,1597219200,1.98
1597219200,1597222800,0.36
1597222800,1597226400,4.14
1597226400,1597230000,3.96
1597230000,1597233600,4.68
1597233600,1597237200,7.02
1597237200,1597240800,7.38
1597240800,1597244400,8.82
1597244400,1597248000,9.36
1597248000,1597251600,8.1
1597251600,1597255200,3.96
1597255200,1597258800,0.54
1597258800,1597262400,1.8
1597262400,1597266000,0
1597266000,1597269600,1.26
1597269600,1597273200,0
1597273200,1597276800,0
1597276800,1597280400,0
1597280400,1597284000,2.88
1597284000,1597287600,0.9
1597287600,1597291200,1.44
1597291200,1597294800,1.44
1597294800,1597298400,3.06
1597298400,1597302000,3.06
1597302000,1597305600,10.08
1597305600,1597309200,7.02
1597309200,1597312800,8.1
