timestamp,solar_radiation
1658167200,445.6
1658170800,277.4
1658174400,122.0
1658178000,19.7
1658181600,0.0
1658185200,0.0
1658188800,0.0
1658192400,0.0
1658196000,0.0
1658199600,0.0
1658203200,0.0
1658206800,0.0
1658210400,0.0
1658214000,49.8
1658217600,179.7
1658221200,344.8
1658224800,511.4
1658228400,658.7
1658232000,770.5
1658235600,834.7
1658239200,846.6
1658242800,813.1
1658246400,731.9
1658250000,604.6
1658253600,447.5
1658257200,277.5
1658260800,121.2
1658264400,19.1
1658268000,0.0
1658271600,0.0
1658275200,0.0
1658278800,0.0
1658282400,0.0
1658286000,0.0
1658289600,0.0
1658293200,0.0
1658296800,0.0
1658300400,48.9
1658304000,178.2
1658307600,342.8
1658311200,508.2
1658314800,654.4
1658318400,766.6
1658322000,833.3
1658325600,848.7
1658329200,810.3
1658332800,725.5
1658336400,598.7
1658340000,442.4
1658343600,274.2
1658347200,119.2
1658350800,18.3
1658354400,0.0
1658358000,0.0
1658361600,0.0
1658365200,0.0
1658368800,0.0
1658372400,0.0
1658376000,0.0
1658379600,0.0
1658383200,0.0
1658386800,46.6
1658390400,173.8
1658394000,334.5
1658397600,487.7
1658401200,580.5
1658404800,711.2
1658408400,770.3
1658412000,832.4
1658415600,799.2
1658419200,717.7
1658422800,591.9
1658426400,433.6
1658430000,267.6
1658433600,116.0
1658437200,17.5
1658440800,0.0
1658444400,0.0
1658448000,0.0
1658451600,0.0
1658455200,0.0
1658458800,0.0
1658462400,0.0
1658466000,0.0
1658469600,0.0
1658473200,45.4
1658476800,171.8
1658480400,335.5
1658484000,501.7
1658487600,648.0
1658491200,759.7
1658494800,827.6
1658498400,844.5
1658502000,806.4
1658505600,720.6
1658509200,593.3
1658512800,436.8
1658516400,268.5
1658520000,115.1
1658523600,16.9
1658527200,0.0
1658530800,0.0
1658534400,0.0
1658538000,0.0
1658541600,0.0
1658545200,0.0
1658548800,0.0
1658552400,0.0
1658556000,0.0
1658559600,43.9
1658563200,164.7
1658566800,328.8
1658570400,493.1
1658574000,638.3
1658577600,751.1
1658581200,820.2
1658584800,834.8
1658588400,806.9
1658592000,715.4
1658595600,586.7
1658599200,393.2
1658602800,241.2
1658606400,92.8
1658610000,16.2
1658613600,0.0
1658617200,0.0
1658620800,0.0
1658624400,0.0
1658628000,0.0
1658631600,0.0
1658635200,0.0
1658638800,0.0
1658642400,0.0
1658646000,37.4
1658649600,118.6
1658653200,253.8
1658656800,406.2
1658660400,614.5
1658664000,712.3
1658667600,799.3
1658671200,821.5
1658674800,768.7
1658678400,658.3
1658682000,572.0
1658685600,421.4
1658689200,258.0
1658692800,109.6
1658696400,15.1
1658700000,0.0
1658703600,0.0
1658707200,0.0
1658710800,0.0
1658714400,0.0
1658718000,0.0
1658721600,0.0
1658725200,0.0
1658728800,0.0
1658732400,40.5
1658736000,162.2
1658739600,323.2
1658743200,488.1
1658746800,634.4
1658750400,746.5
1658754000,814.1
1658757600,831.5
1658761200,750.6
1658764800,650.0
1658768400,338.3
1658772000,343.9
1658775600,255.0
1658779200,106.5
1658782800,14.0
1658786400,0.0
1658790000,0.0
1658793600,0.0
1658797200,0.0
1658800800,0.0
1658804400,0.0
1658808000,0.0
1658811600,0.0
1658815200,0.0
1658818800,38.6
1658822400,158.4
1658826000,296.1
1658829600,482.3
1658833200,622.1
1658836800,729.4
1658840400,796.6
1658844000,793.8
1658847600,532.8
1658851200,623.3
1658854800,334.5
1658858400,149.6
1658862000,161.2
1658865600,42.3
1658869200,11.2
1658872800,0.0
1658876400,0.0
1658880000,0.0
1658883600,0.0
1658887200,0.0
1658890800,0.0
1658894400,0.0
1658898000,0.0
1658901600,0.0
1658905200,20.9
1658908800,91.0
1658912400,174.9
1658916000,306.1
1658919600,307.5
1658923200,533.5
1658926800,681.4
1658930400,522.8
1658934000,306.8
1658937600,412.5
1658941200,391.7
1658944800,390.8
1658948400,232.6
1658952000,90.3
1658955600,13.3
1658959200,0.0
1658962800,0.0
1658966400,0.0
1658970000,0.0
1658973600,0.0
1658977200,0.0
1658980800,0.0
1658984400,0.0
1658988000,0.0
1658991600,36.6
1658995200,137.8
1658998800,283.1
1659002400,400.9
1659006000,511.2
1659009600,600.5
1659013200,750.7
1659016800,805.1
1659020400,789.1
1659024000,680.0
1659027600,562.4
1659031200,415.1
1659034800,253.9
1659038400,100.0
1659042000,12.8
1659045600,0.0
1659049200,0.0
1659052800,0.0
1659056400,0.0
1659060000,0.0
1659063600,0.0
1659067200,0.0
1659070800,0.0
1659074400,0.0
1659078000,34.8
1659081600,153.8
1659085200,314.8
1659088800,479.8
