timestamp,z0.6_y0.0_x0.0,z0.6_y0.0_x0.25,z0.6_y0.0_x0.5,z0.6_y0.0_x0.8,z0.4_y0.0_x0.0,z0.4_y0.0_x0.25,z0.4_y0.0_x0.5,z0.4_y0.0_x0.8,z0.2_y0.0_x0.0,z0.2_y0.0_x0.25,z0.2_y0.0_x0.5,z0.2_y0.0_x0.8
1631552400,-531.9393956604,-348.40349927910006,-355.72831647839996,-629.8475374479,-27.3669670044,-225.80184700709998,-557.2874168604,-823.2274945119,-21.9040876656,-33.5444802399,-240.8547294111,-707.5560267975
1631556000,-533.0647689879,-346.5597200871,-357.5699799023999,-627.6698338044,-27.0795331584,-229.9651822524,-561.0105738975,-826.4283206150999,-21.9040876656,-33.20937984,-238.98630524310002,-708.3913925375999
1631559600,-534.9550221975,-343.6087887975,-358.67477382239997,-625.8027227376,-27.0795331584,-233.33173311,-563.6112112359,-828.0281878464,-21.6164720124,-33.20937984,-236.6969060604,-708.7870586078999
1631563200,-534.5500074096,-339.5956206684,-359.4112180464,-623.2235604444,-27.0795331584,-235.57533484439998,-565.0904851056,-827.2066798551,-21.6164720124,-32.9221405596,-234.0796683996,-707.9517383196
1631566800,-534.5500074096,-335.53427751,-359.77941464160006,-620.9994270144,-26.792089743600002,-237.81832417560003,-566.2109544231,-826.4283206150999,-21.6164720124,-32.9221405596,-232.2097025916,-707.1602937456
1631570400,-534.1899761904,-331.5170625759,-360.14759422559996,-619.5311349375,-27.0795331584,-238.98630524310002,-566.61428271,-824.0494671216002,-21.6164720124,-32.9221405596,-229.9651822524,-706.3687630524
1631574000,-533.0647689879,-327.0819388959,-360.88390236,-618.0625534044,-27.0795331584,-239.3600240991,-566.61428271,-821.62653564,-21.9040876656,-33.20937984,-228.4217192775,-706.3687630524
1631577600,-531.57924111,-324.1700577216,-361.25203091040004,-616.5936824151,-26.792089743600002,-239.7337259439,-565.8524223159,-818.4668198679,-21.6164720124,-32.9221405596,-225.80184700709998,-705.5331650031
1631581200,-530.8588809756,-319.36083456,-361.25203091040004,-615.1245219696,-26.792089743600002,-239.7337259439,-565.4938731975,-816.4750385991,-21.6164720124,-33.20937984,-223.5555787671,-705.5331650031
1631584800,-529.32788976,-316.02968826240004,-361.25203091040004,-614.0113289271,-26.792089743600002,-239.3600240991,-565.0904851056,-814.4826948975,-21.6164720124,-33.20937984,-222.0577263831,-705.13732191
1631588400,-527.8416338559,-313.1138049375,-360.88390236,-612.5416597404002,-26.792089743600002,-239.3600240991,-564.0146782704,-812.8797494364,-21.6164720124,-33.20937984,-220.9341584775,-705.5331650031
1631592000,-526.3550884956,-309.4095755775,-360.88390236,-610.6707530496,-26.792089743600002,-238.6125693759,-563.2525557975,-810.0628830399,-21.6164720124,-33.20937984,-219.20169133439998,-706.3687630524
1631595600,-524.5077652839,-305.7036450975,-360.5157567984,-609.5568955071,-26.792089743600002,-237.81832417560003,-562.8938833479,-809.2826291775,-21.6164720124,-32.9221405596,-217.89039324,-707.1602937456
1631599200,-523.3811294064,-303.15483111,-361.25203091040004,-608.8439394975,-26.792089743600002,-237.4445351484,-562.13164791,-808.0687297719,-21.6164720124,-32.9221405596,-216.5788867584,-707.5560267975
1631602800,-522.2543274039,-300.5588489436,-361.25203091040004,-608.8439394975,-27.0795331584,-236.6969060604,-561.3693356558999,-806.46432879,-21.9040876656,-33.20937984,-216.2509775775,-709.5783261591
1631606400,-521.4880071516001,-298.7040656316,-361.6201424496,-610.3143367104,-27.0795331584,-236.6969060604,-561.0105738975,-806.46432879,-21.9040876656,-33.20937984,-215.92305537240003,-713.2258346556
1631610000,-521.1273592763998,-299.0750563164,-362.3563144944,-614.0113289271,-27.3669670044,-237.07072911,-561.7729223004,-808.4589344496001,-22.19169375,-33.5444802399,-216.9067829151,-718.1009660775
1631613600,-522.2543274039,-303.8963871996,-363.0464139879,-615.1245219696,-27.7022943975,-238.98630524310002,-563.2525557975,-813.2696885799,-22.19169375,-33.5444802399,-218.87388634709998,-724.1573735679
1631617200,-525.9946702716001,-314.9189999616,-365.9901665511,-621.3998200719001,-27.7022943975,-240.8547294111,-565.0904851056,-818.4668198679,-22.19169375,-33.20937984,-220.55960181990002,-727.7975576796001
1631620800,-532.3445491959,-329.2998069375,-368.5650569559,-626.5585146519,-27.9897075111,-201.1530760959,-570.2880598464,-828.8063700636,-22.19169375,-32.9221405596,-227.2990189431,-738.6633428796001
1631624400,-539.4087638976,-341.07196239,-371.50676817510004,-631.3582220751,-27.9897075111,-170.7332887296,-575.12396604,-836.75618199,-21.9040876656,-32.9221405596,-231.46159719,-745.5336354830998
1631628000,-543.9048481776,-347.2972827975,-374.7689552124,-634.6451205975,-27.9897075111,-162.439104,-578.4804101775,-841.5476406350999,-21.9040876656,-32.9221405596,-234.82753564439997,-750.7803969471
1631631600,-547.6345795119,-349.8782164311,-377.3410026204,-636.5100101079,-27.7022943975,-157.2038786991,-582.5508881436,-847.11197799,-21.9040876656,-32.9221405596,-237.07072911,-754.3634825919
1631635200,-550.2398109375,-351.3526614039,-379.5449512476,-638.3300452284,-27.7022943975,-154.0894894959,-587.0214024636,-853.0596280944002,-21.9040876656,-32.5870159719,-239.7337259439,-759.2109099456
1631638800,-552.4400855196,-350.9840756775,-381.01391010839995,-635.4000133104,-27.3669670044,-153.05110246709998,-590.32787184,-856.2038017431,-21.6164720124,-32.5870159719,-240.48107859990003,-760.4331671664
