"start","end","humidity"
1589875200,1589878800,79.8
1589878800,1589882400,76.5
1589882400,1589886000,74.15
1589886000,1589889600,73.7
1589889600,1589893200,72.65
1589893200,1589896800,75.95
1589896800,1589900400,74.1
1589900400,1589904000,74.35
1589904000,1589907600,76.8
1589907600,1589911200,78.9
1589911200,1589914800,82.45
1589914800,1589918400,88.9
1589918400,1589922000,91.65
1589922000,1589925600,90.45
1589925600,1589929200,87.95
1589929200,1589932800,89.15
1589932800,1589936400,93
1589936400,1589940000,94.4
1589940000,1589943600,95.65
1589943600,1589947200,96.25
1589947200,1589950800,95.6
1589950800,1589954400,95.35
1589954400,1589958000,94.6
1589958000,1589961600,92.65
1589961600,1589965200,92.85
1589965200,1589968800,93.3
1589968800,1589972400,89.55
1589972400,1589976000,87.6
1589976000,1589979600,78.9
1589979600,1589983200,76.35
1589983200,1589986800,78.75
1589986800,1589990400,77.8
1589990400,1589994000,76.7
1589994000,1589997600,72.85
1589997600,1590001200,75.55
1590001200,1590004800,85
1590004800,1590008400,88.3
1590008400,1590012000,88.5
1590012000,1590015600,89.15
1590015600,1590019200,91.1
1590019200,1590022800,94.3
1590022800,1590026400,95.3
1590026400,1590030000,95.9
1590030000,1590033600,96.05
1590033600,1590037200,96.25
1590037200,1590040800,93.95
1590040800,1590044400,84.8
1590044400,1590048000,78
1590048000,1590051600,64.1
1590051600,1590055200,59.2
1590055200,1590058800,58.1
1590058800,1590062400,59.6
1590062400,1590066000,58.85
1590066000,1590069600,53.25
1590069600,1590073200,49.35
1590073200,1590076800,51.05
1590076800,1590080400,47.55
1590080400,1590084000,51.3
1590084000,1590087600,61.05
1590087600,1590091200,80.3
1590091200,1590094800,89.65
1590094800,1590098400,90.55
1590098400,1590102000,90
1590102000,1590105600,87.45
1590105600,1590109200,88.8
1590109200,1590112800,86.95
1590112800,1590116400,87.25
1590116400,1590120000,93.1
1590120000,1590123600,93.15
1590123600,1590127200,84.35
1590127200,1590130800,72.95
1590130800,1590134400,53.8
1590134400,1590138000,48.65
1590138000,1590141600,48.1
1590141600,1590145200,47.4
1590145200,1590148800,49
1590148800,1590152400,52.6
1590152400,1590156000,52.8
1590156000,1590159600,55.25
1590159600,1590163200,55.85
1590163200,1590166800,55.15
1590166800,1590170400,57.6
1590170400,1590174000,69.55
1590174000,1590177600,79.9
1590177600,1590181200,88.75
1590181200,1590184800,92.75
1590184800,1590188400,94.2
1590188400,1590192000,94.95
1590192000,1590195600,95.5
1590195600,1590199200,91.2
1590199200,1590202800,72.9
1590202800,1590206400,70.75
1590206400,1590210000,84.7
1590210000,1590213600,87.4
1590213600,1590217200,70.05
1590217200,1590220800,59.05
1590220800,1590224400,54.85
1590224400,1590228000,48.85
1590228000,1590231600,46.7
1590231600,1590235200,45.95
1590235200,1590238800,44.7
1590238800,1590242400,44
1590242400,1590246000,42.65
1590246000,1590249600,41.5
1590249600,1590253200,42.4
1590253200,1590256800,43.7
1590256800,1590260400,46.45
1590260400,1590264000,42.35
1590264000,1590267600,44.75
1590267600,1590271200,47.1
1590271200,1590274800,52.4
1590274800,1590278400,55.55
1590278400,1590282000,62.05
1590282000,1590285600,71.05
1590285600,1590289200,82.7
1590289200,1590292800,87.85
1590292800,1590296400,93.65
1590296400,1590300000,91.9
1590300000,1590303600,86.1
1590303600,1590307200,74.9
1590307200,1590310800,77.5
1590310800,1590314400,76.5
1590314400,1590318000,69.3
1590318000,1590321600,67.25
1590321600,1590325200,63.7
1590325200,1590328800,56.8
1590328800,1590332400,54.85
1590332400,1590336000,54.85
1590336000,1590339600,57.35
1590339600,1590343200,58.95
1590343200,1590346800,68.9
1590346800,1590350400,79.8
1590350400,1590354000,88.55
1590354000,1590357600,93.2
1590357600,1590361200,93.8
1590361200,1590364800,93.1
1590364800,1590368400,93.45
1590368400,1590372000,95.05
1590372000,1590375600,96.85
1590375600,1590379200,96
1590379200,1590382800,97.8
1590382800,1590386400,93.9
1590386400,1590390000,78.15
1590390000,1590393600,64.95
1590393600,1590397200,60.8
1590397200,1590400800,54.6
1590400800,1590404400,49.25
1590404400,1590408000,47.4
1590408000,1590411600,44
1590411600,1590415200,40.3
1590415200,1590418800,46.95
1590418800,1590422400,49.55
1590422400,1590426000,51.65
1590426000,1590429600,52.45
1590429600,1590433200,59.6
1590433200,1590436800,76.05
1590436800,1590440400,86.55
1590440400,1590444000,91.45
1590444000,1590447600,87.3
1590447600,1590451200,89.15
1590451200,1590454800,92.25
1590454800,1590458400,84.4
1590458400,1590462000,79.6
1590462000,1590465600,79.15
1590465600,1590469200,84.05
1590469200,1590472800,81.4
1590472800,1590476400,67.3
1590476400,1590480000,58.45
1590480000,1590483600,52.95
1590483600,1590487200,52.1
1590487200,1590490800,46.25
1590490800,1590494400,47.1
1590494400,1590498000,46.55
1590498000,1590501600,45.3
1590501600,1590505200,42.45
1590505200,1590508800,43.4
1590508800,1590512400,39.75
1590512400,1590516000,41.2
1590516000,1590519600,48.6
1590519600,1590523200,55.25
1590523200,1590526800,65.3
1590526800,1590530400,83.35
1590530400,1590534000,90.5
1590534000,1590537600,91.8
1590537600,1590541200,90.55
1590541200,1590544800,89.45
1590544800,1590548400,90.2
1590548400,1590552000,90.55
1590552000,1590555600,89.85
1590555600,1590559200,82.95
1590559200,1590562800,72.5
1590562800,1590566400,63.75
1590566400,1590570000,57.4
1590570000,1590573600,51.2
1590573600,1590577200,48.25
1590577200,1590580800,46.3
1590580800,1590584400,43.85
1590584400,1590588000,44.5
1590588000,1590591600,41.75
1590591600,1590595200,39.2
1590595200,1590598800,40.75
1590598800,1590602400,41.35
1590602400,1590606000,56.55
1590606000,1590609600,78.65
1590609600,1590613200,77.3
1590613200,1590616800,76.2
1590616800,1590620400,76.3
1590620400,1590624000,76.3
1590624000,1590627600,77.4
1590627600,1590631200,75.9
1590631200,1590634800,77.45
1590634800,1590638400,80.1
1590638400,1590642000,79.45
1590642000,1590645600,75.7
1590645600,1590649200,69.2
1590649200,1590652800,59.15
1590652800,1590656400,46.05
1590656400,1590660000,44.45
1590660000,1590663600,41.55
1590663600,1590667200,42.1
1590667200,1590670800,47.6
1590670800,1590674400,46.65
1590674400,1590678000,46.35
1590678000,1590681600,48.1
1590681600,1590685200,46.4
1590685200,1590688800,46.1
1590688800,1590692400,51.3
1590692400,1590696000,62.65
1590696000,1590699600,76.75
1590699600,1590703200,84.35
1590703200,1590706800,91.25
1590706800,1590710400,80.6
1590710400,1590714000,79.5
1590714000,1590717600,89.6
1590717600,1590721200,93.65
1590721200,1590724800,95.6
1590724800,1590728400,96.3
1590728400,1590732000,96.75
1590732000,1590735600,96.95
1590735600,1590739200,94.95
1590739200,1590742800,89.2
1590742800,1590746400,91.85
1590746400,1590750000,89.35
1590750000,1590753600,85.05
1590753600,1590757200,79.5
1590757200,1590760800,72.3
1590760800,1590764400,64.8
1590764400,1590768000,70.5
1590768000,1590771600,68.05
1590771600,1590775200,61.75
1590775200,1590778800,72.7333333333333
1590778800,1590782400,80.075
1590782400,1590786000,79.85
1590786000,1590789600,77.1
1590789600,1590793200,85.5666666666667
1590793200,1590796800,94.35
1590796800,1590800400,94.65
1590800400,1590804000,93.95
1590804000,1590807600,93.45
1590807600,1590811200,92.3
1590811200,1590814800,92.5
1590814800,1590818400,90.075
1590818400,1590822000,85.2
1590822000,1590825600,80.45
1590825600,1590829200,78.275
1590829200,1590832800,76.375
1590832800,1590836400,69.625
1590836400,1590840000,67.5
1590840000,1590843600,64.675
1590843600,1590847200,64.075
1590847200,1590850800,60.15
1590850800,1590854400,60.375
1590854400,1590858000,61.25
1590858000,1590861600,59.975
1590861600,1590865200,62.075
1590865200,1590868800,68.275
1590868800,1590872400,74.775
1590872400,1590876000,75.925
1590876000,1590879600,82.8666666666667
1590879600,1590883200,94.45
1590883200,1590886800,93.15
1590886800,1590890400,92.7
1590890400,1590894000,92.5
1590894000,1590897600,93.625
1590897600,1590901200,94.225
1590901200,1590904800,91.425
1590904800,1590908400,88
1590908400,1590912000,86.025
1590912000,1590915600,83.25
1590915600,1590919200,79.55
1590919200,1590922800,72.5
1590922800,1590926400,68.275
1590926400,1590930000,62.15
1590930000,1590933600,63.6
1590933600,1590937200,59.95
1590937200,1590940800,57.175
1590940800,1590944400,54.85
1590944400,1590948000,58.35
1590948000,1590951600,62.3
1590951600,1590955200,67.25
1590955200,1590958800,72.375
1590958800,1590962400,75.65
1590962400,1590966000,84.8666666666667
1590966000,1590969600,96.35
1590969600,1590973200,95.55
1590973200,1590976800,94.9
1590976800,1590980400,94.725
1590980400,1590984000,95.575
1590984000,1590987600,96.025
1590987600,1590991200,92.85
1590991200,1590994800,86.375
1590994800,1590998400,79.5
1590998400,1591002000,74.675
1591002000,1591005600,73
1591005600,1591009200,65.625
1591009200,1591012800,58.225
1591012800,1591016400,51.35
1591016400,1591020000,51.875
1591020000,1591023600,50.1
1591023600,1591027200,50.05
1591027200,1591030800,49.275
1591030800,1591034400,48.975
1591034400,1591038000,54.075
1591038000,1591041600,64.35
1591041600,1591045200,68.95
1591045200,1591048800,68.675
1591048800,1591052400,77.1666666666667
1591052400,1591056000,86.95
1591056000,1591059600,88.05
1591059600,1591063200,84.65
1591063200,1591066800,87.85
1591066800,1591070400,83.75
1591070400,1591074000,85.6
1591074000,1591077600,82.75
1591077600,1591081200,80.6
1591081200,1591084800,72.25
1591084800,1591088400,70.775
1591088400,1591092000,67.925
1591092000,1591095600,58.9
1591095600,1591099200,56
1591099200,1591102800,51.825
1591102800,1591106400,50.125
1591106400,1591110000,48.475
1591110000,1591113600,49.675
1591113600,1591117200,48.2
1591117200,1591120800,48.8
1591120800,1591124400,61.125
1591124400,1591128000,63.225
1591128000,1591131600,59.25
