"start","end","wind"
1591635600,1591639200,0.99
1591639200,1591642800,3.78
1591642800,1591646400,4.68
1591646400,1591650000,2.25
1591650000,1591653600,0.81
1591653600,1591657200,2.04
1591657200,1591660800,1.8
1591660800,1591664400,3.24
1591664400,1591668000,0
1591668000,1591671600,3.33
1591671600,1591675200,1.53
1591675200,1591678800,3.15
1591678800,1591682400,0.18
1591682400,1591686000,3.69
1591686000,1591689600,3.87
1591689600,1591693200,4.5
1591693200,1591696800,3.42
1591696800,1591700400,3.51
1591700400,1591704000,6.21
1591704000,1591707600,6.12
1591707600,1591711200,5.76
1591711200,1591714800,4.05
1591714800,1591718400,6.48
1591718400,1591722000,9.09
1591722000,1591725600,5.13
1591725600,1591729200,2.07
1591729200,1591732800,3.51
1591732800,1591736400,8.1
1591736400,1591740000,2.61
1591740000,1591743600,1.32
1591743600,1591747200,0
1591747200,1591750800,0.36
1591750800,1591754400,1.8
1591754400,1591758000,0.99
1591758000,1591761600,2.25
1591761600,1591765200,0.72
1591765200,1591768800,2.79
1591768800,1591772400,0.81
1591772400,1591776000,3.24
1591776000,1591779600,2.61
1591779600,1591783200,4.05
1591783200,1591786800,1.98
1591786800,1591790400,6.48
1591790400,1591794000,6.03
1591794000,1591797600,4.23
1591797600,1591801200,5.4
1591801200,1591804800,9.09
1591804800,1591808400,7.47
1591808400,1591812000,7.38
1591812000,1591815600,8.19
1591815600,1591819200,5.76
1591819200,1591822800,5.13
1591822800,1591826400,6.3
1591826400,1591830000,5.04
1591830000,1591833600,0.36
1591833600,1591837200,0
1591837200,1591840800,1.26
1591840800,1591844400,1.53
1591844400,1591848000,0.45
1591848000,1591851600,0.27
1591851600,1591855200,0.99
1591855200,1591858800,1.62
1591858800,1591862400,3.24
1591862400,1591866000,4.14
1591866000,1591869600,3.78
1591869600,1591873200,3.96
1591873200,1591876800,5.58
1591876800,1591880400,6.93
1591880400,1591884000,5.04
1591884000,1591887600,4.86
1591887600,1591891200,3.78
1591891200,1591894800,3.87
1591894800,1591898400,3.51
1591898400,1591902000,2.61
1591902000,1591905600,1.89
1591905600,1591909200,1.53
1591909200,1591912800,1.89
1591912800,1591916400,1.2
1591916400,1591920000,0
1591920000,1591923600,0.9
1591923600,1591927200,1.26
1591927200,1591930800,0.9
1591930800,1591934400,0
1591934400,1591938000,0.54
1591938000,1591941600,2.07
1591941600,1591945200,0.81
1591945200,1591948800,1.08
1591948800,1591952400,1.89
1591952400,1591956000,5.22
1591956000,1591959600,4.86
1591959600,1591963200,4.32
1591963200,1591966800,6.75
1591966800,1591970400,5.22
1591970400,1591974000,7.38
1591974000,1591977600,7.38
1591977600,1591981200,9.81
1591981200,1591984800,4.23
1591984800,1591988400,4.05
1591988400,1591992000,4.5
1591992000,1591995600,5.4
1591995600,1591999200,4.23
1591999200,1592002800,2.64
1592002800,1592006400,1.8
1592006400,1592010000,1.98
1592010000,1592013600,0.36
1592013600,1592017200,3.6
1592017200,1592020800,3.51
1592020800,1592024400,3.69
1592024400,1592028000,2.97
1592028000,1592031600,3.96
1592031600,1592035200,6.84
1592035200,1592038800,5.85
1592038800,1592042400,4.59
1592042400,1592046000,3.69
1592046000,1592049600,5.85
1592049600,1592053200,6.57
1592053200,1592056800,4.05
1592056800,1592060400,4.86
1592060400,1592064000,4.32
1592064000,1592067600,6.75
1592067600,1592071200,2.61
1592071200,1592074800,4.41
1592074800,1592078400,9
1592078400,1592082000,7.11
1592082000,1592085600,1.89
1592085600,1592089200,1.56
1592089200,1592092800,0.72
1592092800,1592096400,1.08
1592096400,1592100000,3.06
1592100000,1592103600,2.16
1592103600,1592107200,0.81
1592107200,1592110800,1.44
1592110800,1592114400,3.51
1592114400,1592118000,3.24
1592118000,1592121600,2.52
1592121600,1592125200,2.34
1592125200,1592128800,3.42
1592128800,1592132400,2.97
1592132400,1592136000,4.14
1592136000,1592139600,4.95
1592139600,1592143200,4.23
1592143200,1592146800,3.78
1592146800,1592150400,5.85
1592150400,1592154000,5.58
1592154000,1592157600,3.96
1592157600,1592161200,3.42
1592161200,1592164800,4.05
1592164800,1592168400,2.61
1592168400,1592172000,1.17
1592172000,1592175600,1.08
1592175600,1592179200,1.62
1592179200,1592182800,4.5
1592182800,1592186400,3.42
1592186400,1592190000,1.08
1592190000,1592193600,1.71
1592193600,1592197200,2.25
1592197200,1592200800,1.98
1592200800,1592204400,1.17
1592204400,1592208000,1.71
