"start","end","temperature"
1589979600,1589983200,20.17
1589983200,1589986800,19.67
1589986800,1589990400,19.63
1589990400,1589994000,20.195
1589994000,1589997600,20.03
1589997600,1590001200,19.105
1590001200,1590004800,17.48
1590004800,1590008400,17.07
1590008400,1590012000,16.78
1590012000,1590015600,16.25
1590015600,1590019200,14.715
1590019200,1590022800,13.155
1590022800,1590026400,12.845
1590026400,1590030000,12.21
1590030000,1590033600,11.645
1590033600,1590037200,11.535
1590037200,1590040800,13.75
1590040800,1590044400,17.27
1590044400,1590048000,19.325
1590048000,1590051600,21.53
1590051600,1590055200,22.49
1590055200,1590058800,23.495
1590058800,1590062400,23.44
1590062400,1590066000,23.815
1590066000,1590069600,24.725
1590069600,1590073200,24.76
1590073200,1590076800,24.365
1590076800,1590080400,23.81
1590080400,1590084000,22.97
1590084000,1590087600,21.745
1590087600,1590091200,16.835
1590091200,1590094800,14
1590094800,1590098400,13.505
1590098400,1590102000,13.205
1590102000,1590105600,13.26
1590105600,1590109200,12.515
1590109200,1590112800,12.625
1590112800,1590116400,11.965
1590116400,1590120000,10.9
1590120000,1590123600,11.92
1590123600,1590127200,14.53
1590127200,1590130800,17.735
1590130800,1590134400,21.12
1590134400,1590138000,22.965
1590138000,1590141600,24.5
1590141600,1590145200,25.39
1590145200,1590148800,26.205
1590148800,1590152400,26.11
1590152400,1590156000,25.735
1590156000,1590159600,24.235
1590159600,1590163200,24.975
1590163200,1590166800,24.36
1590166800,1590170400,23.695
1590170400,1590174000,21.075
1590174000,1590177600,18.55
1590177600,1590181200,16.7
1590181200,1590184800,15.715
1590184800,1590188400,15.47
1590188400,1590192000,14.83
1590192000,1590195600,13.87
1590195600,1590199200,14.42
1590199200,1590202800,17.45
1590202800,1590206400,17.38
1590206400,1590210000,15.255
1590210000,1590213600,16.805
1590213600,1590217200,21.76
1590217200,1590220800,24.375
1590220800,1590224400,26.285
1590224400,1590228000,27.5
1590228000,1590231600,28.055
1590231600,1590235200,28.915
1590235200,1590238800,29.53
1590238800,1590242400,29.325
1590242400,1590246000,29.195
1590246000,1590249600,28.13
1590249600,1590253200,27.26
1590253200,1590256800,25.82
1590256800,1590260400,23.71
1590260400,1590264000,23.37
1590264000,1590267600,22.255
1590267600,1590271200,22.475
1590271200,1590274800,22.135
1590274800,1590278400,21.4
1590278400,1590282000,20.155
1590282000,1590285600,18.835
1590285600,1590289200,18.315
1590289200,1590292800,16.73
1590292800,1590296400,16.57
1590296400,1590300000,17.84
1590300000,1590303600,19.62
1590303600,1590307200,21.65
1590307200,1590310800,21.36
1590310800,1590314400,21.36
1590314400,1590318000,22.015
1590318000,1590321600,22.805
1590321600,1590325200,22.85
1590325200,1590328800,22.575
1590328800,1590332400,22.63
1590332400,1590336000,22.805
1590336000,1590339600,22.35
1590339600,1590343200,21.505
1590343200,1590346800,18.825
1590346800,1590350400,15.815
1590350400,1590354000,12.995
1590354000,1590357600,11.8
1590357600,1590361200,12.27
1590361200,1590364800,11.835
1590364800,1590368400,10.395
1590368400,1590372000,9.255
1590372000,1590375600,9.725
1590375600,1590379200,9.04
1590379200,1590382800,9.825
1590382800,1590386400,12.45
1590386400,1590390000,16.025
1590390000,1590393600,20.09
1590393600,1590397200,21.68
1590397200,1590400800,22.785
1590400800,1590404400,24.01
1590404400,1590408000,24.47
1590408000,1590411600,25.35
1590411600,1590415200,25.78
1590415200,1590418800,25.615
1590418800,1590422400,25.135
1590422400,1590426000,24.805
1590426000,1590429600,23.89
1590429600,1590433200,21.765
1590433200,1590436800,17.49
1590436800,1590440400,14.23
1590440400,1590444000,12.9
1590444000,1590447600,13.2
1590447600,1590451200,11.965
1590451200,1590454800,12.43
1590454800,1590458400,16.86
1590458400,1590462000,16.565
1590462000,1590465600,15.585
1590465600,1590469200,14.32
1590469200,1590472800,15.97
1590472800,1590476400,18.925
1590476400,1590480000,20.115
1590480000,1590483600,20.895
1590483600,1590487200,21.52
1590487200,1590490800,21.96
1590490800,1590494400,22.1
1590494400,1590498000,22.25
1590498000,1590501600,22.43
1590501600,1590505200,22.725
1590505200,1590508800,22.485
1590508800,1590512400,21.99
1590512400,1590516000,21.165
1590516000,1590519600,19.875
1590519600,1590523200,17.815
1590523200,1590526800,15.43
1590526800,1590530400,11.9
1590530400,1590534000,9.67
1590534000,1590537600,9.15
1590537600,1590541200,9.105
1590541200,1590544800,9.07
1590544800,1590548400,8.71
1590548400,1590552000,8.405
1590552000,1590555600,9.18
1590555600,1590559200,12.12
1590559200,1590562800,16.39
1590562800,1590566400,19.62
1590566400,1590570000,20.09
1590570000,1590573600,20.915
1590573600,1590577200,21.39
1590577200,1590580800,21.57
1590580800,1590584400,22.355
1590584400,1590588000,22.275
1590588000,1590591600,22.42
1590591600,1590595200,22.425
1590595200,1590598800,21.91
1590598800,1590602400,21.63
1590602400,1590606000,20.135
1590606000,1590609600,14.055
1590609600,1590613200,12.15
1590613200,1590616800,11.74
1590616800,1590620400,11.08
1590620400,1590624000,10.74
1590624000,1590627600,10.19
1590627600,1590631200,10.46
1590631200,1590634800,10.08
1590634800,1590638400,9.305
1590638400,1590642000,9.805
1590642000,1590645600,12.69
1590645600,1590649200,16.16
1590649200,1590652800,19.83
1590652800,1590656400,22.575
1590656400,1590660000,23.275
1590660000,1590663600,23.74
1590663600,1590667200,24.4
1590667200,1590670800,24.68
1590670800,1590674400,24.12
1590674400,1590678000,24.045
1590678000,1590681600,23.335
1590681600,1590685200,23.065
1590685200,1590688800,22.8
1590688800,1590692400,20.575
1590692400,1590696000,16.79
1590696000,1590699600,13.64
1590699600,1590703200,11.955
1590703200,1590706800,11.39
1590706800,1590710400,15.37
1590710400,1590714000,16.35
1590714000,1590717600,14.925
1590717600,1590721200,13.64
1590721200,1590724800,13.34
1590724800,1590728400,13.03
1590728400,1590732000,12.94
1590732000,1590735600,13.285
1590735600,1590739200,13.71
1590739200,1590742800,13.585
1590742800,1590746400,13.57
1590746400,1590750000,13.645
1590750000,1590753600,14.64
1590753600,1590757200,14.83
1590757200,1590760800,16.715
1590760800,1590764400,17.28
1590764400,1590768000,16.845
1590768000,1590771600,16.87
1590771600,1590775200,17.575
1590775200,1590778800,16.5733333333333
1590778800,1590782400,15.5125
1590782400,1590786000,14.695
1590786000,1590789600,14.9125
1590789600,1590793200,13.56
1590793200,1590796800,11.185
1590796800,1590800400,11.07
1590800400,1590804000,10.845
1590804000,1590807600,11.4225
1590807600,1590811200,11.32
1590811200,1590814800,11.16
1590814800,1590818400,11.91
1590818400,1590822000,13.105
1590822000,1590825600,14.32
1590825600,1590829200,15.2125
1590829200,1590832800,16.4075
1590832800,1590836400,18.065
1590836400,1590840000,19.035
1590840000,1590843600,20.205
1590843600,1590847200,20.4
1590847200,1590850800,21.2475
