timestamp,z,x,H
1596913200,-20,60,-192.06694488315
1596913200,-20,90,-217.843550799
1596916800,-60,0,-139.6349203719
1596916800,-60,30,-86.5170506439
1596916800,-60,60,-48.1326366144
1596916800,-60,90,-33.4966095516
1596916800,-40,0,-191.0098472079
1596916800,-40,30,-131.1679320924
1596916800,-40,60,-177.7015712496
1596916800,-40,90,-157.25105751
1596916800,-20,0,-22.19169375
1596916800,-20,30,-111.36269424
1596916800,-20,60,-190.3049958144
1596916800,-20,90,-217.5156983664
1596920400,-60,0,-138.9257231484
1596920400,-60,30,-85.8033879804
1596920400,-60,60,-47.4635577564
1596920400,-60,90,-32.8742664159
1596920400,-40,0,-185.4161122599
1596920400,-40,30,-129.7480504944
1596920400,-40,60,-174.52412428935
1596920400,-40,90,-157.60488264375
1596920400,-20,0,-22.8148074399
1596920400,-20,30,-109.93947951
1596920400,-20,60,-188.9421135399
1596920400,-20,90,-217.5156983664
1596924000,-60,0,-136.7977427454
1596924000,-60,30,-85.0896655119
1596924000,-60,60,-47.4635577564
1596924000,-60,90,-32.56307238795
1596924000,-40,0,-181.1835292284
1596924000,-40,30,-129.7480504944
1596924000,-40,60,-171.3456008391
1596924000,-40,90,-157.25105751
1596924000,-20,0,-23.4378762096
1596924000,-20,30,-107.44827063375
1596924000,-20,60,-187.17942687615
1596924000,-20,90,-219.1548563358
1596927600,-60,0,-134.7165894999
1596927600,-60,30,-85.0896655119
1596927600,-60,60,-47.4635577564
1596927600,-60,90,-32.25187836
1596927600,-40,0,-176.9955915351
1596927600,-40,30,-129.0380199879
1596927600,-40,60,-169.9325051151
1596927600,-40,90,-156.5905299696
1596927600,-20,0,-24.0609000591
1596927600,-20,30,-105.6684
1596927600,-20,60,-185.4163813824
1596927600,-20,90,-220.1850281511
1596931200,-60,0,-134.0069776284
1596931200,-60,30,-85.0896655119
1596931200,-60,60,-46.7944268016
1596931200,-60,90,-31.6294453839
1596931200,-40,0,-172.7583377331
1596931200,-40,30,-128.68297483215
1596931200,-40,60,-167.83594458555
1596931200,-40,90,-155.8827640791
1596931200,-20,0,-24.0609000591
1596931200,-20,30,-104.9563440975
1596931200,-20,60,-185.4163813824
1596931200,-20,90,-222.0577263831
1596934800,-60,0,-132.5875445679
1596934800,-60,30,-84.3758832384
1596934800,-60,60,-46.7944268016
1596934800,-60,90,-31.0069674876
1596934800,-40,0,-168.5191701711
1596934800,-40,30,-128.3279296764
1596934800,-40,60,-165.73891359
1596934800,-40,90,-155.1749383836
1596934800,-20,0,-24.99534599295
1596934800,-20,30,-103.88814063375
1596934800,-20,60,-184.7110555359
1596934800,-20,90,-225.87197717055
1596938400,-60,0,-131.1679320924
1596938400,-60,30,-84.3758832384
1596938400,-60,60,-46.12524375
1596938400,-60,90,-31.0069674876
1596938400,-40,0,-166.4458461975
1596938400,-40,30,-127.6177795599
1596938400,-40,60,-164.32486896
1596938400,-40,90,-154.4670528831
1596938400,-20,0,-25.3068129975
1596938400,-20,30,-102.81981756
1596938400,-20,60,-184.0056698844
1596938400,-20,90,-229.6845741504
1596942000,-60,0,-130.4580211959
1596942000,-60,30,-84.3758832384
1596942000,-60,60,-46.12524375
1596942000,-60,90,-31.0069674876
1596942000,-40,0,-162.55690948875
1596942000,-40,30,-127.6177795599
1596942000,-40,60,-162.203323575
1596942000,-40,90,-153.7591075776
1596942000,-20,0,-25.9297020864
1596942000,-20,30,-102.81981756
1596942000,-20,60,-184.0056698844
1596942000,-20,90,-233.5187233116
1596945600,-60,0,-128.3278997739
1596945600,-60,30,-83.6620411599
1596945600,-60,60,-45.4082040975
1596945600,-60,90,-30.3844446711
1596945600,-40,0,-160.08129975
1596945600,-40,30,-126.9075696384
1596945600,-40,60,-160.7887107975
1596945600,-40,90,-153.0511024671
1596945600,-20,0,-26.91185338095
1596945600,-20,30,-102.1550106396
1596945600,-20,60,-184.35836271015
1596945600,-20,90,-236.39310645555
1596949200,-60,0,-126.9075696384
1596949200,-60,30,-83.6620411599
1596949200,-60,60,-45.4082040975
1596949200,-60,90,-30.3844446711
1596949200,-40,0,-157.9587077775
1596949200,-40,30,-126.9075696384
1596949200,-40,60,-159.3738288975
1596949200,-40,90,-153.0511024671
1596949200,-20,0,-27.2232512775
1596949200,-20,30,-102.1550106396
1596949200,-20,60,-184.0056698844
1596949200,-20,90,-239.2198815216
1596952800,-60,0,-126.1972999119
1596952800,-60,30,-82.9481392764
1596952800,-60,60,-44.7389131311
1596952800,-60,90,-30.3844446711
1596952800,-40,0,-156.56691079455
1596952800,-40,30,-126.55243477515
1596952800,-40,60,-157.958677875
1596952800,-40,90,-152.3430375516
1596952800,-20,0,-24.0609000591
1596952800,-20,30,-101.4426596991
1596952800,-20,60,-184.7110555359
1596952800,-20,90,-242.1156753084
1596956400,-60,0,-126.1972999119
1596956400,-60,30,-82.9481392764
1596956400,-60,60,-44.7389131311
1596956400,-60,90,-29.7139852479
1596956400,-40,0,-47.4635577564
1596956400,-40,30,-126.9075696384
1596956400,-40,60,-157.25105751
1596956400,-40,90,-152.3430375516
1596956400,-20,0,-13.1754891324
1596956400,-20,30,-101.4426596991
1596956400,-20,60,-185.06371845915
1596956400,-20,90,-245.4304435662
1596960000,-60,0,-124.7765810439
1596960000,-60,30,-82.9481392764
1596960000,-60,60,-44.7389131311
1596960000,-60,90,-30.3844446711
1596960000,-40,0,-46.7944268016
1596960000,-40,30,-126.1972999119
1596960000,-40,60,-156.5905299696
1596960000,-40,90,-151.6349128311
1596960000,-20,0,-21.0412119996
1596960000,-20,30,-102.1550106396
1596960000,-20,60,-186.1216474239
1596960000,-20,90,-249.0707434239
1596963600,-60,0,-122.6924273151
1596963600,-60,30,-82.9481392764
1596963600,-60,60,-44.7389131311
1596963600,-60,90,-30.3844446711
1596963600,-40,0,-42.70670990895
1596963600,-40,30,-126.9075696384
1596963600,-40,60,-156.5905299696
1596963600,-40,90,-151.6349128311
1596963600,-20,0,-21.0412119996
1596963600,-20,30,-101.4426596991
1596963600,-20,60,-186.8268536604
1596963600,-20,90,-251.2633996956
1596967200,-60,0,-119.1385868076
1596967200,-60,30,-83.6620411599
1596967200,-60,60,-44.7389131311
1596967200,-60,90,-31.31820643575
1596967200,-40,0,-38.7129500775
1596967200,-40,30,-127.6177795599
1596967200,-40,60,-157.9587077775
1596967200,-40,90,-151.6349128311
1596967200,-20,0,-21.0412119996
1596967200,-20,30,-101.4426596991
1596967200,-20,60,-188.2370568159
1596967200,-20,90,-252.00970191
1596970800,-60,0,-114.8722677756
1596970800,-60,30,-84.3758832384
1596970800,-60,60,-44.7389131311
1596970800,-60,90,-32.25187836
1596970800,-40,0,-37.4211232704
1596970800,-40,30,-128.3279296764
1596970800,-40,60,-160.08129975
1596970800,-40,90,-152.3430375516
1596970800,-20,0,-31.0069674876
1596970800,-20,30,-100.7302489536
1596970800,-20,60,-189.6470805564
1596970800,-20,90,-252.00970191
1596974400,-60,0,-112.78566975
1596974400,-60,30,-85.8033879804
1596974400,-60,60,-44.7389131311
1596974400,-60,90,-32.8742664159
1596974400,-40,0,-36.08124636
1596974400,-40,30,-129.7480205919
1596974400,-40,60,-163.97113353375
1596974400,-40,90,-152.69707000935
1596974400,-20,0,-21.0412119996
1596974400,-20,30,-100.0177784031
1596974400,-20,60,-189.6470805564
1596974400,-20,90,-250.5636795711
1596978000,-60,0,-111.00690550875
1596978000,-60,30,-86.87379226815
1596978000,-60,60,-45.76672392375
1596978000,-60,90,-34.14281719575
1596978000,-40,0,-36.08124636
1596978000,-40,30,-131.8777831839
1596978000,-40,60,-168.5191701711
1596978000,-40,90,-153.7591075776
1596978000,-20,0,-17.3970049656
1596978000,-20,30,-100.37401367835
1596978000,-20,60,-189.9760381854
1596978000,-20,90,-245.78046111495
1596981600,-60,0,-109.93947951
1596981600,-60,30,-88.6576798044
1596981600,-60,60,-46.12524375
1596981600,-60,90,-35.4590898159
1596981600,-40,0,-36.7512108636
1596981600,-40,30,-132.5875744704
1596981600,-40,60,-172.0520589936
1596981600,-40,90,-155.1749383836
1596981600,-20,0,-18.2122935519
1596981600,-20,30,-101.4426596991
1596981600,-20,60,-190.3049958144
1596981600,-20,90,-239.2198815216
1596985200,-60,0,-109.93947951
1596985200,-60,30,-88.6576798044
1596985200,-60,60,-46.7944268016
1596985200,-60,90,-35.4590898159
1596985200,-40,0,-38.7129240291
1596985200,-40,30,-133.65214179015
1596985200,-40,60,-177.67792389975
1596985200,-40,90,-155.52885123135
1596985200,-20,0,-18.2122935519
1596985200,-20,30,-102.1550106396
1596985200,-20,60,-191.0098472079
1596985200,-20,90,-234.4536105276
1596988800,-60,0,-109.93947951
1596988800,-60,30,-89.3711032479
1596988800,-60,60,-47.4635577564
1596988800,-60,90,-36.08124636
1596988800,-40,0,-41.34384975
1596988800,-40,30,-135.3788399559
1596988800,-40,60,-180.4778445519
1596988800,-40,90,-155.8827640791
1596988800,-20,0,-19.91447687535
1596988800,-20,30,-103.5320528775
1596988800,-20,60,-191.0098472079
1596988800,-20,90,-230.17550841915
1596992400,-60,0,-109.93947951
1596992400,-60,30,-90.0844668864
1596992400,-60,60,-48.1326366144
1596992400,-60,90,-36.08124636
1596992400,-40,0,-43.3523589744
1596992400,-40,30,-135.3788399559
1596992400,-40,60,-179.7721000704
1596992400,-40,90,-156.5905299696
1596992400,-20,0,-21.0412119996
1596992400,-20,30,-102.81981756
1596992400,-20,60,-190.3049958144
1596992400,-20,90,-226.8311819511
1596996000,-60,0,-109.2277824375
1596996000,-60,30,-89.3711032479
1596996000,-60,60,-48.1326366144
1596996000,-60,90,-35.4590898159
1596996000,-40,0,-43.37623903215
1596996000,-40,30,-134.7165894999
1596996000,-40,60,-177.34852158735
1596996000,-40,90,-156.5905299696
1596996000,-20,0,-21.0412119996
1596996000,-20,30,-100.7302489536
1596996000,-20,60,-188.9421135399
1596996000,-20,90,-223.97680071
1596999600,-60,0,-107.0923024875
1596999600,-60,30,-88.30093818015
1596999600,-60,60,-48.1326366144
1596999600,-60,90,-34.14281719575
1596999600,-40,0,-41.34384975
1596999600,-40,30,-134.0069776284
1596999600,-40,60,-173.4647958876
1596999600,-40,90,-156.5905299696
1596999600,-20,0,-14.30295507375
1596999600,-20,30,-97.52359323135
1596999600,-20,60,-186.47419073715
1596999600,-20,90,-223.50876171
1597003200,-60,0,-104.24422839
1597003200,-60,30,-87.2306535024
1597003200,-60,60,-48.1326366144
1597003200,-60,90,-33.4966095516
1597003200,-40,0,-40.0045831164
1597003200,-40,30,-133.2973059519
1597003200,-40,60,-170.6390828796
1597003200,-40,90,-156.5905299696
1597003200,-20,0,-13.1754891324
